nama_pemda,tahun,pendapatan_total,belanja_total,blj_tdk_langsung,blj_pegawai,blj_hibah,blj_bansos,blj_bagi_hasil,blj_bantuan_keu,blj_tdk_terduga,blj_langsung,blj_barang_jasa,blj_modal,pembiayaan,rasio_pegawai_pct,rasio_modal_pct,rasio_barang_jasa_pct,rasio_bansos_pct,rasio_hibah_pct,rasio_bantuan_keu_pct,ipm,tpt,kemiskinan_pct,pdrb_per_kapita,ipm_lag1,kemiskinan_lag1,delta_ipm,delta_kemiskinan,belanja_per_pdrb,klaster
Kota Blitar,2016,847.187702894,857.7951527,375.0021527,333.338,15.47103625,23.7230115,0.0,0.4999695,0.65829545,482.793,279.421,203.372,73.089836489,38.86,23.71,32.57,2.77,1.8,0.06,77.83,5.39,8.27,42954,77.41,8.52,0.42,-0.25,19970.0878,0
Kota Blitar,2017,850.942358242,784.297309172,304.08672373,283.014934938,18.2757055,2.26493492,0.0,0.4999845,0.031163872,480.210585442,305.220889064,174.989696378,62.549149325,36.09,22.31,38.92,0.29,2.33,0.06,78.43,5.32,7.8,47391,77.83,8.27,0.6,-0.47,16549.499,0
Kota Blitar,2018,894.40917602396,811.0427531238299,321.7528107065,274.0354286945,24.368685958,22.69178973,0.01224368,0.4999845,0.144678144,480.210585442,329.25554220367,160.03440021366,127.73807237833,33.79,19.73,40.6,2.8,3.0,0.06,79.11,5.59,7.27,52416,78.43,7.8,0.68,-0.53,15473.1905,0
Kota Kediri,2014,1190.617578862,979.743351878,632.895961981,552.405590002,53.07327383,26.363003478,0.0,0.5579479,0.496146771,346.847389897,193.298337751,153.549052146,224.554931923,56.38,15.67,19.73,2.69,5.42,0.06,77.4,7.24,9.44,258454,76.73,9.88,0.67,-0.44,3790.7842,2
Kota Kediri,2015,1227.985595703,1120.702813857,528.261178165,490.502785924,21.71178,15.202566312,0.0,0.727060675,0.116985254,592.441635692,315.430879038,174.462849355,964.141099659,43.77,15.57,28.15,1.36,1.94,0.06,78.08,7.59,9.33,282849,77.4,9.44,0.68,-0.11,3962.1947,2
Kota Kediri,2016,1179.920957259,1484.725897137,757.369897137,629.314,87.667886906,38.955935001,0.0,0.727060675,0.705014555,727.356,345.51,381.846,535.712,42.39,25.72,23.27,2.62,5.9,0.05,78.55,6.86,9.02,309897,78.08,9.33,0.47,-0.31,4791.0302,2
Kota Kediri,2017,1239.131382634,1269.94430858,673.180319069,543.243179141,80.743267995,48.466811258,0.0,0.727060675,0.0,596.763989511,353.568431385,243.195558126,230.907373861,42.78,19.15,27.84,3.82,6.36,0.06,79.27,6.77,8.61,342118,78.55,9.02,0.72,-0.41,3712.0067,2
Kota Kediri,2018,1278.48860189094,1237.74525686292,730.5799862912801,564.55414104758,98.7082854699,66.5588658488,0.0,0.727060675,0.03163325,507.16527057164,373.93911954337,133.22615102827,200.09439890626,45.61,10.76,30.21,5.38,7.97,0.06,79.86,7.04,8.13,378773,79.27,8.61,0.59,-0.48,3267.7758,2
Kota Madiun,2014,938.517341039,853.473318174,438.41586972,413.686359144,17.392000508,6.7982925,0.0,0.539217568,0.0,415.057448454,169.194840387,201.533941749,169.485451427,48.47,23.61,19.82,0.8,2.04,0.06,78.43,6.23,4.87,58988,77.9,5.12,0.53,-0.25,14468.5922,0
Kota Madiun,2015,973.919348172,877.219888409,444.356543616,425.637798494,0.0,12.534419422,5.556479,0.6278467,0.0,432.863344793,210.842025393,182.41322739,581.570898939,48.52,20.79,24.04,1.43,0.0,0.07,79.05,6.57,4.87,64636,78.43,4.87,0.62,0.0,13571.6921,0
Kota Madiun,2016,998.281942182,1031.56489447,467.7156633,457.737,4.8951316,4.455685,0.0,0.6278467,0.0,563.84923117,263.948,246.395,339.13917,44.37,23.89,25.59,0.43,0.47,0.06,79.62,5.97,4.78,70967,79.05,4.87,0.57,-0.09,14535.8391,0
Kota Madiun,2017,957.624973325,954.991703029,351.277112926,334.828576837,11.924689389,3.896,0.6278467,0.0,0.0,603.714590103,290.933631925,255.977976513,305.857486594,35.06,26.8,30.46,0.41,1.25,0.0,80.39,5.9,4.47,78395,79.62,4.78,0.77,-0.31,12181.7935,0
Kota Madiun,2018,1007.44624013764,954.991703029,472.095466818,435.126974606,21.318545231,13.522100281,0.0,2.1278467,0.0,564.56336377788,305.47575151941,259.08761225847,308.49141688946,45.56,27.13,31.99,1.42,2.23,0.22,80.94,6.14,4.27,86987,80.39,4.47,0.55,-0.2,10978.5566,0
Kota Malang,2014,1764.864689655,1602.999850133,923.536196619,877.246394702,44.148137498,1.40273963,0.0783306,0.647332838,0.013261351,679.463653514,361.001601092,318.462052422,161.120910854,54.73,19.87,22.52,0.09,2.75,0.04,79.06,7.4,5.32,46563,78.44,5.57,0.62,-0.25,34426.4727,0
